GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.internal.domestic.backed.map,QueueBackedMaps,81,0,0,0,20,0,10,0,10,0
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.impl.table,Metadata,0,1,0,0,0,1,0,1,0,1
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.impl.table,ReadonlyTableStore,77,9,0,0,26,5,10,3,10,3
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.impl.table,SingleTableStore,165,437,15,25,35,87,18,23,5,16
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.impl.table,AbstractTSQueueLock,83,124,8,4,11,25,7,9,2,8
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.impl.table,SingleTableBuilder,92,196,4,16,17,43,10,19,6,13
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.impl.table,Metadata.NoMeta,6,14,0,0,3,2,2,1,2,1
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.util,FileState,0,44,0,0,0,2,0,1,0,1
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.util,FileUtil,6,6,0,0,3,2,2,2,2,2
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.util,QueueUtil,0,2,0,0,0,1,0,1,0,1
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.util,ToolsUtil,0,6,1,1,0,3,1,1,0,1
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.util,PretouchUtil,5,0,0,0,1,0,1,0,1,0
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.service,EventLoopServiceWrapper,196,0,16,0,52,0,16,0,8,0
OpenHFT/Chronicle-Queue,net.openhft.chronicle.queue.service,ServiceWrapperBuilder,199,0,2,0,68,0,26,0,25,0
